,% of successful trips
sim day 1,0.759795570698467
sim day 2,0.72859450726979
sim day 3,0.665589660743134
sim day 4,0.706161137440758
sim day 5,0.671949286846276
sim day 6,0.707547169811321
sim day 7,0.735537190082645
sim day 8,0.727272727272727
sim day 9,0.690095846645367
sim day 10,0.75873544093178
sim day 11,0.792822185970636
sim day 12,0.728956228956229
sim day 13,0.711375212224109
sim day 14,0.75625
sim day 15,0.693163751987281
sim day 16,0.641156462585034
sim day 17,0.771474878444084
sim day 18,0.704730831973899
sim day 19,0.763793103448276
sim day 20,0.678632478632479
Avg of sim days,0.719681683598215
After opt placement,0.804421768707483
